nsn,fsc,niin,nomenclature,inc,sos,cancelled,cancelled_niin,amc,amsc,aac,competable,competability_notes,unit_price,ui,slc,ciic,dmil,hmic,hcc,crit_cd,approved_cage,approved_part,cage_company,cage_city,cage_state,cage_status,vendor_name,contact_name,contact_email,contact_phone,website,is_small_business,is_woman_owned,is_veteran_owned,qty,delivery_days,solicitation,purchase_request,source_file
1005-01-502-5842,1005,015025842,"ROD SECTION,CLEANING,SMALL ARMS",22305,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,0BT64,IP-9098-5,"BARRETT FIREARMS MANUFACTURING, INC. DBA BARRETT FIREARMS MANUFACTURING INC",CHRISTIANA,TN,A,"BARRETT FIREARMS MANUFACTURING, INC.",CAMERON FRASER,cameron.fraser@barrett.net,6158962938,http://www.barrett.net,f,f,f,,,,,as260723.txt
1005-01-524-5264,1005,015245264,"MOUNT BLOCK,BOOSTER",77777,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,0DZR6,6071-A103-550-02,"CONTRACT FABRICATION AND DESIGN, LLC",PRINCETON,TX,A,,,,,,,,,,,,,as260723.txt
1005-01-552-0384,1005,015520384,"DRIVE ASSEMBLY,ELECTROHYDRAULIC,",62350,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,064S4,TYUW13250A,BAE SYSTEMS LAND & ARMAMENTS L.P.,LOUISVILLE,KY,A,,,,,,,,,,,,,as260723.txt
1005-01-566-1820,1005,015661820,"HARNESS,W14",77777,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,064S4,TYUH10014A,BAE SYSTEMS LAND & ARMAMENTS L.P.,LOUISVILLE,KY,A,,,,,,,,,,,,,as260723.txt
1005-01-613-6153,1005,016136153,"BAG,EMPTY CARTRIDGE",11532,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,5NK26,13039092-1,"TACT360, INC",MELBOURNE,FL,A,"TACT360, INC",MICHELE WYE,michele@tact360.com,3216004902,,f,f,f,,,,,as260723.txt
1005-01-693-1422,1005,016931422,"COVER ASSEMBLY,MACHINE GUN",50780,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,064S4,TYUW19101A,BAE SYSTEMS LAND & ARMAMENTS L.P.,LOUISVILLE,KY,A,,,,,,,,,,,,,as260723.txt
1015-LN-003-4266,1015,LN0034266,,,,false,,,,,unknown,No MOE rule,,,,,,,,,26433,B3-132-1,PARKER HANNIFIN CORP DBA PNEUTRONICS,ELYRIA,OH,A,,,,,,,,,,,,,as260723.txt
1015-LN-003-4266,1015,LN0034266,,,,false,,,,,unknown,No MOE rule,,,,,,,,,59211,B3-132-1,PARKER-HANNIFIN CORPORATION DBA SERVICE AND SUPPORT OPERATION DIV SERVICES AND SUPPORT OPERATIONS,IRVINE,CA,A,,,,,,,,,,,,,as260723.txt
1025-01-641-3873,1025,016413873,O-RING KIT,77777,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,00994,120A1687,COLUMBUS JACK CORPORATION DIV COLUMBUS JACK,SWANTON,OH,A,COLUMBUS JACK CORPORATION,ALISON GOBLE,agoble@tronair.com,4198751113,www.tronair.com,f,f,f,,,,,as260723.txt
1095-14-375-1224,1095,143751224,,,,false,,,,,unknown,No MOE rule,,,,,,,,,F0554,C900-200-000,ARESIA-VALENTON,VALENTON,,A,,,,,,,,,,,,,as260723.txt
1095-14-375-1224,1095,143751224,,,,false,,,,,unknown,No MOE rule,,,,,,,,,F0555,0711980Q00,MBDA FRANCE,LE PLESSIS-ROBINSON,,A,,,,,,,,,,,,,as260723.txt
1095-14-553-3917,1095,145533917,,,,false,,,,,unknown,No MOE rule,,,,,,,,,F8294,44037313,THALES DMS FRANCE SAS,VALBONNE,,A,,,,,,,,,,,,,as260723.txt
1285-01-230-7381,1285,012307381,"TRANSMITTER,RESOLVE",77777,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,10112,RPH30-1,GENERAL DYNAMICS MOTION CONTROL LLC DIV GENERAL DYNAMICS OTS INC,SAN DIEGO,CA,A,,,,,,,,,,,,,as260723.txt
1285-01-230-7381,1285,012307381,"TRANSMITTER,RESOLVE",77777,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,99932,5543727,MOOG INC.,BLACKSBURG,VA,A,,,,,,,,,,,,,as260723.txt
1285-01-230-7381,1285,012307381,"TRANSMITTER,RESOLVE",77777,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,99932,SSH-30-D-1,MOOG INC.,BLACKSBURG,VA,A,,,,,,,,,,,,,as260723.txt
1290-01-022-8401,1290,010228401,"INTERVALOMETER,ROCK",77777,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,3A2N7,7900-0128,"ARNOLD DEFENSE & ELECTRONICS, LLC",ARNOLD,MO,A,"ARNOLD DEFENSE & ELECTRONICS, LLC",TIFFANY VIEHMAN,TVIEHMAN@ARNOLDDEFENSE.COM,6362965417,https://www.arnolddefense.com/,f,f,f,,,,,as260723.txt
1420-01-686-9216,1420,016869216,GYRO-OPTICS ASSEMBLY,77777,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,04939,13688208,LOCKHEED MARTIN CORPORATION,ORLANDO,FL,A,,,,,,,,,,,,,as260723.txt
1440-01-084-4956,1440,010844956,"GUIDE,CONNECTOR,UMBILICAL ENGAGI",77777,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,32067,3103774-1-1,"MARVIN ENGINEERING CO, INC",INGLEWOOD,CA,A,"MARVIN ENGINEERING CO, INC",SHANNON SHARPE,Shannon.Sharpe@marvineng.com,3106745030,www.marvingroup.com,f,f,f,,,,,as260723.txt
1440-01-084-4956,1440,010844956,"GUIDE,CONNECTOR,UMBILICAL ENGAGI",77777,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,82577,3103774-1-1,RAYTHEON COMPANY DBA RAYTHEON,EL SEGUNDO,CA,A,,,,,,,,,,,,,as260723.txt
1560-00-798-7109,1560,007987109,"SKIN,AIRCRAFT",61081,SMS,false,,,,,unknown,No MOE rule,"$18,280.71",EA,0,U,,,,,06DM5,35-8221-544,"INFINITY FABRICATION, INC.",MARYSVILLE,WA,A,"INFINITY FABRICATION, INC.",JIN PROWSE,JIN.PROWSE@INFINITYFABINC.COM,3604357460,,t,t,f,,,,,as260723.txt
1560-00-798-7109,1560,007987109,"SKIN,AIRCRAFT",61081,SMS,false,,,,,unknown,No MOE rule,"$18,280.71",EA,0,U,,,,,0C7H8,35-8221-544,D-J ENGINEERING INC DBA D-J ENGINEERING INC,AUGUSTA,KS,A,D-J ENGINEERING INC,MATT JIRAK,MJirak@djgrp.com,3167751212,http://www.djgrp.com,f,f,t,,,,,as260723.txt
1560-00-798-7109,1560,007987109,"SKIN,AIRCRAFT",61081,SMS,false,,,,,unknown,No MOE rule,"$18,280.71",EA,0,U,,,,,0P657,35-8221-544,CAMNETICS MANUFACTURING CORPORATION,CLINTON,UT,A,CAMNETICS MANUFACTURING CORPORATION,ALLEN WHITTLE,abwhit1@yahoo.com,8017739590,,f,f,t,,,,,as260723.txt
1560-00-798-7109,1560,007987109,"SKIN,AIRCRAFT",61081,SMS,false,,,,,unknown,No MOE rule,"$18,280.71",EA,0,U,,,,,1P642,35-8221-544,VOLUMATIC INC DBA VOLUMATIC INC,MACON,GA,A,VOLUMATIC INC,JOSEPH SCHMUCKER,INFO@VOLUMATIC-USA.COM,4787819300,http://www.volumatic-usa.com,f,f,f,,,,,as260723.txt
1560-00-798-7109,1560,007987109,"SKIN,AIRCRAFT",61081,SMS,false,,,,,unknown,No MOE rule,"$18,280.71",EA,0,U,,,,,1QJK4,35-8221-544,"FMW, INC.",WICHITA,KS,A,"FMW, INC.",MELINDA NELSON,MELINDA@FMWKS.COM,3169434217,,f,f,f,,,,,as260723.txt
1560-00-798-7109,1560,007987109,"SKIN,AIRCRAFT",61081,SMS,false,,,,,unknown,No MOE rule,"$18,280.71",EA,0,U,,,,,29183,35-8221-544,"G. S. E. DYNAMICS, INC. DBA GSE DYNAMICS",HAUPPAUGE,NY,A,"G. S. E. DYNAMICS, INC.",ANNE SHYBUNKO,ashybunko@gsedynamics.com,6312311044,http://www.gsedynamics.com,t,t,f,,,,,as260723.txt
1560-00-798-7109,1560,007987109,"SKIN,AIRCRAFT",61081,SMS,false,,,,,unknown,No MOE rule,"$18,280.71",EA,0,U,,,,,29957,35-8221-544,"NORDAM GROUP LLC, THE DIV NORDAM",TULSA,OK,A,,,,,,,,,,,,,as260723.txt
1560-00-798-7109,1560,007987109,"SKIN,AIRCRAFT",61081,SMS,false,,,,,unknown,No MOE rule,"$18,280.71",EA,0,U,,,,,2V045,35-8221-544,MALONES CNC MACHINING INC,GROVE,OK,A,MALONES CNC MACHINING INC,JEANETTE BANDY,jeanetteb@malonescnc.com,9187867313,www.malonescnc.com,f,f,f,,,,,as260723.txt
1560-00-798-7109,1560,007987109,"SKIN,AIRCRAFT",61081,SMS,false,,,,,unknown,No MOE rule,"$18,280.71",EA,0,U,,,,,32821,35-8221-544,H & R PARTS CO INC,WICHITA,KS,A,H & R PARTS CO INC,BRANDI CHADWELL,bchadwell@hrpartsco.com,3169426984,www.hrpartsco.com,f,f,f,,,,,as260723.txt
1560-00-798-7109,1560,007987109,"SKIN,AIRCRAFT",61081,SMS,false,,,,,unknown,No MOE rule,"$18,280.71",EA,0,U,,,,,51563,35-8221-544,"ROHR, INC. DBA ROHR INDUSTRIES INC DIV ROHR INC., A PART OF COLLINS AEROSPACE",CHULA VISTA,CA,A,,,,,,,,,,,,,as260723.txt
1560-00-798-7109,1560,007987109,"SKIN,AIRCRAFT",61081,SMS,false,,,,,unknown,No MOE rule,"$18,280.71",EA,0,U,,,,,59213,35-8221-544,"AERO COMPONENTS, LLC",FORT WORTH,TX,A,"AERO COMPONENTS, LLC",GARRETT MARLER,gmarler@aero-components.com,8175723003,www.aero-components.com,f,f,f,,,,,as260723.txt
1560-00-798-7109,1560,007987109,"SKIN,AIRCRAFT",61081,SMS,false,,,,,unknown,No MOE rule,"$18,280.71",EA,0,U,,,,,69734,35-8221-544,VERSAFORM CORP. DIV LMI VISTA,VISTA,CA,A,,,,,,,,,,,,,as260723.txt
1560-00-798-7109,1560,007987109,"SKIN,AIRCRAFT",61081,SMS,false,,,,,unknown,No MOE rule,"$18,280.71",EA,0,U,,,,,81205,35-8221-544,THE BOEING COMPANY DIV DEFENSE,TUKWILA,WA,A,,,,,,,,,,,,,as260723.txt
1560-00-798-7109,1560,007987109,"SKIN,AIRCRAFT",61081,SMS,false,,,,,unknown,No MOE rule,"$18,280.71",EA,0,U,,,,,82918,35-8221-544,THE BOEING COMPANY DIV LEGACY WICHITA,OKLAHOMA CITY,OK,A,,,,,,,,,,,,,as260723.txt
1560-01-065-1128,1560,010651128,"COUPLING ASSEMBLY,CROSS-OVER",77777,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,00624,AE705233-1,EATON AEROQUIP LLC DBA JACKSON NORTH 1 DIV FLUID AND ELECTRICAL DISTRIBUTION,JACKSON,MI,A,,,,,,,,,,,,,as260723.txt
1560-01-065-1128,1560,010651128,"COUPLING ASSEMBLY,CROSS-OVER",77777,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,97499,212-062-681-001,BELL TEXTRON INC,FORT WORTH,TX,A,,,,,,,,,,,,,as260723.txt
1560-01-191-6963,1560,011916963,"FORMER,AIRCRAFT",41023,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,06DM5,6-70740-5,"INFINITY FABRICATION, INC.",MARYSVILLE,WA,A,"INFINITY FABRICATION, INC.",JIN PROWSE,JIN.PROWSE@INFINITYFABINC.COM,3604357460,,t,t,f,,,,,as260723.txt
1560-01-191-6963,1560,011916963,"FORMER,AIRCRAFT",41023,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,0C7H8,6-70740-5,D-J ENGINEERING INC DBA D-J ENGINEERING INC,AUGUSTA,KS,A,D-J ENGINEERING INC,MATT JIRAK,MJirak@djgrp.com,3167751212,http://www.djgrp.com,f,f,t,,,,,as260723.txt
1560-01-191-6963,1560,011916963,"FORMER,AIRCRAFT",41023,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,0JXZ1,6-70740-5,MERRILL CORPORATION DBA MISSION SUPPORT INC.,CLEARFIELD,UT,A,MERRILL CORPORATION,DAVID MERRILL,david.merrill@missionsupport.us,8017737900,www.missionsupport.us,f,f,f,,,,,as260723.txt
1560-01-191-6963,1560,011916963,"FORMER,AIRCRAFT",41023,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,0P657,6-70740-5,CAMNETICS MANUFACTURING CORPORATION,CLINTON,UT,A,CAMNETICS MANUFACTURING CORPORATION,ALLEN WHITTLE,abwhit1@yahoo.com,8017739590,,f,f,t,,,,,as260723.txt
1560-01-191-6963,1560,011916963,"FORMER,AIRCRAFT",41023,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,1P642,6-70740-5,VOLUMATIC INC DBA VOLUMATIC INC,MACON,GA,A,VOLUMATIC INC,JOSEPH SCHMUCKER,INFO@VOLUMATIC-USA.COM,4787819300,http://www.volumatic-usa.com,f,f,f,,,,,as260723.txt
1560-01-191-6963,1560,011916963,"FORMER,AIRCRAFT",41023,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,1QJK4,6-70740-5,"FMW, INC.",WICHITA,KS,A,"FMW, INC.",MELINDA NELSON,MELINDA@FMWKS.COM,3169434217,,f,f,f,,,,,as260723.txt
1560-01-191-6963,1560,011916963,"FORMER,AIRCRAFT",41023,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,29957,6-70740-5,"NORDAM GROUP LLC, THE DIV NORDAM",TULSA,OK,A,,,,,,,,,,,,,as260723.txt
1560-01-191-6963,1560,011916963,"FORMER,AIRCRAFT",41023,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,2V045,6-70740-5,MALONES CNC MACHINING INC,GROVE,OK,A,MALONES CNC MACHINING INC,JEANETTE BANDY,jeanetteb@malonescnc.com,9187867313,www.malonescnc.com,f,f,f,,,,,as260723.txt
1560-01-191-6963,1560,011916963,"FORMER,AIRCRAFT",41023,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,32821,6-70740-5,H & R PARTS CO INC,WICHITA,KS,A,H & R PARTS CO INC,BRANDI CHADWELL,bchadwell@hrpartsco.com,3169426984,www.hrpartsco.com,f,f,f,,,,,as260723.txt
1560-01-191-6963,1560,011916963,"FORMER,AIRCRAFT",41023,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,59213,6-70740-5,"AERO COMPONENTS, LLC",FORT WORTH,TX,A,"AERO COMPONENTS, LLC",GARRETT MARLER,gmarler@aero-components.com,8175723003,www.aero-components.com,f,f,f,,,,,as260723.txt
1560-01-191-6963,1560,011916963,"FORMER,AIRCRAFT",41023,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,6AUZ3,6-70740-5,"NORTHROP GRUMMAN TECHNICAL SERVICES, INC. DIV CAGE CODE SHOULD NOT BE USED FOR CONTRACT AWARDS",LAKE CHARLES,LA,A,,,,,,,,,,,,,as260723.txt
1560-01-191-6963,1560,011916963,"FORMER,AIRCRAFT",41023,SMS,false,,,,,unknown,No MOE rule,,,,,,,,,81205,6-70740-5,THE BOEING COMPANY DIV DEFENSE,TUKWILA,WA,A,,,,,,,,,,,,,as260723.txt
