row_num,nsn,mil_spec,nomenclature,tech_docs,solicitation,status,purchase_request,qty,issued,return_by
1,6640-01-681-0587,,WATER SAMPLING TEST,None,SPE2DH-26-T-5387,Open,7017570939,1,07-23-2026,07-29-2026
2,6640-01-492-5120,,"CASSETTE, FILTER",None,SPE2DH-26-T-5394,Open,7017575436,5,07-23-2026,07-29-2026
3,6640-01-492-5120,,"CASSETTE, FILTER",None,SPE2DH-26-T-5394,Open,7017575185,1,07-23-2026,07-29-2026
4,6640-00-500-0276,,"BOTTLE, SCREW CAP",None,SPE2DH-26-T-5396,Open,7017575437,1,07-23-2026,07-29-2026
5,6640-01-497-5789,,"CHIP, CHEMICAL, AMMON",None,SPE2DH-26-T-5398,Open,7017577157,2,07-23-2026,07-29-2026
6,6640-01-497-5789,,"CHIP, CHEMICAL, AMMON",None,SPE2DH-26-T-5398,Open,7017547711,1,07-23-2026,07-29-2026
7,6640-01-454-6834,,"CLOTH, LENS",None,SPE2DH-26-T-5401,Open,7017576500,1,07-23-2026,07-29-2026
8,6640-01-454-6834,,"CLOTH, LENS",None,SPE2DH-26-T-5401,Open,7017590458,1,07-23-2026,07-29-2026
9,6640-01-630-1887,,"WASH BOTTLE, LABORAT",None,SPE2DH-26-T-5402,Open,7017577601,1,07-23-2026,07-29-2026
10,6515-00-564-8242,,"APPLICATOR, DISPOSABLE",None,SPE2DS-26-T-259Q,Open,7017570636,1,07-23-2026,07-28-2026
11,6515-01-687-1199,,"THERMOMETER, CLINICAL, H",None,SPE2DS-26-T-259R,Open,7017570664,7,07-23-2026,07-28-2026
12,6515-01-608-7696,,"TEST LUNG, VENTILATOR",None,SPE2DS-26-T-259S,Open,7017570423,1,07-23-2026,07-28-2026
13,6515-01-500-5746,,"BAG, RECLOSABLE",None,SPE2DS-26-T-259T,Open,7017570638,15,07-23-2026,07-28-2026
14,6515-01-529-5293,,"SYRINGE, CATHETER TI",None,SPE2DS-26-T-259U,Open,7017570630,25,07-23-2026,07-28-2026
15,6515-01-572-8338,,"PLUG, EAR",None,SPE2DS-26-T-259V,Open,7017570499,25,07-23-2026,07-28-2026
16,6515-01-389-6158,,"TUBE, SUCTION, SURGICAL",None,SPE2DS-26-T-259W,Open,7017570631,7,07-23-2026,07-28-2026
17,6515-01-389-6158,,"TUBE, SUCTION, SURGICAL",None,SPE2DS-26-T-259W,Open,7017584420,1,07-23-2026,07-28-2026
